"price","age","agecat","mileage","statwag","newprice","region","eu_time","corros","report"
69.1182502746582,17,3,226,0,310,0,3,2,0
56.3090090990067,16,3,186,0,270,0,5,2,0
141.906638336182,7,1,43,1,230,0,22,1,0
262.93978780508,2,1,45,0,320,0,0,0,1
9,17,3,183,0,200,0,10,2,0
110.20784072876,10,2,117,0,240,1,15,2,1
110.463964653015,16,3,153,0,320,0,13,2,1
204.686049461365,14,3,155,0,400,0,6,2,1
76.4825380325317,13,3,157,1,240,1,1,2,0
65.1675038814545,17,3,227,1,300,0,8,2,0
165.246482515335,14,3,241,0,380,0,18,2,0
184.924711620808,2,1,79,1,230,1,0,0,0
288.87683634758,3,1,87,0,360,0,0,1,1
98.3816336870194,17,3,162,0,320,1,10,2,1
28.0903705596924,14,3,201,0,230,1,21,2,0
76.942415356636,12,2,170,0,250,0,9,2,0
197.03481464386,13,3,172,0,380,1,2,2,0
100.791424798965,10,2,172,0,250,0,10,2,0
183.525169563293,12,2,113,0,350,0,11,2,1
65.7999502182007,9,2,99,1,200,0,12,2,1
39.9202487945557,14,3,212,0,250,1,1,2,0
241.466282272339,7,1,111,0,340,1,5,1,0
105.273709774017,11,2,230,0,270,0,12,2,1
158.140273284912,1,1,53,1,200,0,0,0,0
67.1277101039886,10,2,145,0,210,0,16,2,1
42.8679175376892,14,3,155,0,230,1,4,2,0
206.349087810516,1,1,24,0,250,0,0,0,1
132.973166275024,17,3,227,1,380,0,5,2,1
4.90253067016602,17,3,170,0,220,1,18,2,0
115.411814880371,16,3,203,0,330,0,19,2,0
159.082216262817,11,2,95,0,300,0,16,2,0
289.741086578369,7,1,109,1,400,1,12,1,1
204.703583335876,14,3,149,1,400,1,21,2,0
312.121466445923,3,1,62,0,360,1,11,1,0
121.337703561783,7,1,89,0,220,0,22,1,1
161.144226646423,13,3,114,0,330,0,3,2,0
26.7215788751841,12,2,191,0,190,1,13,2,1
5,16,3,192,0,210,0,7,2,1
89.7840334892273,11,2,58,0,240,1,20,2,1
68.1353322029114,15,3,164,1,270,0,1,2,0
97.1688550949097,10,2,121,0,230,0,4,2,0
330.368514347076,2,1,2,0,380,1,13,0,0
261.335017424822,8,2,93,0,390,0,12,1,0
317.430996894836,2,1,45,0,380,1,20,0,1
192.774917507172,4,1,26,0,260,1,15,1,1
178.656914997101,3,1,2,0,240,0,12,1,0
161.451065921783,14,3,226,0,380,0,18,2,0
257.965446138382,1,1,11,1,300,0,0,0,1
221.723117685318,3,1,34,0,280,0,0,1,0
6,17,3,187,0,190,0,15,2,0
181.506859856844,4,1,32,0,250,0,0,1,1
246.047559738159,7,1,70,0,360,1,9,1,1
134.861003828049,6,1,53,0,220,1,14,1,0
187.241684341431,3,1,26,0,240,1,18,1,1
335.175434041023,1,1,27,0,380,1,0,0,1
99.758509349823,11,2,168,0,250,1,1,2,1
224.831906890869,5,1,94,1,310,0,0,1,0
198.455766677856,9,2,100,1,360,0,16,2,0
45.6925542831421,17,3,227,0,280,0,13,2,0
223.811518859863,5,1,3,0,290,1,20,1,0
238.256587600708,9,2,94,1,360,0,11,2,1
153.402992153168,17,3,226,0,400,0,21,2,1
264.375635147095,1,1,25,0,290,1,0,0,1
171.296862328053,10,2,111,1,320,1,12,2,1
175.699969482422,8,2,123,1,290,0,19,1,0
169.168698596954,12,2,132,0,340,0,21,2,0
230.79569311142,10,2,88,0,390,1,20,2,0
199.945371866226,1,1,25,0,240,0,0,0,1
112.59545674324,10,2,166,0,270,0,13,2,1
51.1610935688019,14,3,234,0,240,1,23,2,1
136.505048370361,15,3,174,0,360,0,17,2,1
86.2812366962433,12,2,142,0,260,0,7,2,1
314.666257664561,2,1,35,0,370,1,0,0,0
216.45982093811,10,2,118,0,370,0,10,2,0
59.680507928133,17,3,175,0,280,1,10,1,1
149.852776837349,2,1,28,0,190,0,0,0,0
4,15,3,144,1,190,0,9,2,1
192.75330286026,1,1,62,0,240,0,0,0,0
240.473719596863,8,2,60,0,350,0,6,0,1
127.053583717346,13,3,139,0,320,0,17,1,0
100.903120946884,9,2,133,1,240,0,13,2,0
120.592966890335,6,1,99,0,210,1,0,1,1
256.885166978836,2,1,34,0,310,1,0,0,0
167.678155708313,13,3,167,0,370,0,1,2,0
178.136754584312,12,2,198,0,360,1,9,2,1
114.59853515625,10,2,94,0,260,1,6,2,0
338.486443901062,2,1,41,0,390,1,0,0,0
210.456151008606,6,1,80,0,320,0,17,1,0
192.435934448242,14,3,226,0,400,0,1,1,1
120.063948822021,10,2,123,0,260,0,2,0,1
75.2179714202881,10,2,134,1,220,1,19,2,1
69.7096927642822,11,2,142,0,220,0,6,0,0
48.8257919311523,17,3,169,0,250,1,6,2,0
277.22471370697,2,1,1,0,340,0,0,0,0
5,17,3,180,0,210,1,7,2,0
170.094074630737,3,1,6,0,220,1,0,1,0
144.1654504776,11,2,196,0,320,0,6,2,1
217.716037368774,3,1,119,0,300,0,0,1,0
19.4152342796326,16,3,308,1,250,0,17,2,1
214.938756752014,2,1,32,0,260,0,0,0,0
94.4193373739719,15,3,293,1,310,1,15,2,1
41.7014772415161,14,3,233,0,220,1,3,2,1
34.7435809254646,12,2,157,0,200,0,4,2,1
81.0980089187622,9,2,92,0,220,1,12,2,1
26.0428956985474,16,3,206,0,240,1,6,2,1
236.353916072845,8,2,76,0,360,1,9,1,0
225.537953233719,4,1,84,0,300,1,0,1,1
108.99813117981,8,2,56,1,230,0,21,1,1
54.9525490283966,11,2,167,0,210,1,8,2,1
224.42027759552,6,1,90,0,320,0,6,1,0
5,17,3,250,0,190,0,17,2,1
174.18177986145,3,1,5,1,220,1,0,1,0
139.296068000793,4,1,72,0,210,0,0,1,0
217.344423866272,10,2,154,0,390,1,6,2,1
346.606797552109,1,1,4,0,390,1,0,0,0
232.461452937126,2,1,9,0,280,0,0,0,1
102.515847015381,8,2,157,0,210,0,10,1,1
205.941473197937,7,1,83,0,300,1,19,1,0
247.76047077179,4,1,81,0,320,1,0,1,0
3.71018433570862,14,3,135,0,190,0,9,2,0
241.402189445496,2,1,23,0,280,1,0,0,0
138.790870666504,12,2,170,1,320,0,4,2,1
175.738708686829,14,3,233,0,370,1,10,2,0
263.095244216919,8,2,102,0,380,1,20,1,0
117.55148563385,16,3,154,0,340,1,7,2,1
123.406519079208,10,2,116,0,270,1,11,2,1
126.30487279892,8,2,67,0,230,1,7,1,0
158.097328186035,10,2,120,0,330,1,14,2,0
81.5433700561523,11,2,187,0,230,1,17,2,1
4,15,3,182,0,190,0,11,2,1
68.7861474990845,11,2,146,1,240,0,16,2,1
334.714403831959,1,1,31,0,380,1,0,0,0
213.367735481262,9,2,149,0,350,0,21,2,1
75.3733649253845,11,2,135,0,230,1,13,2,0
16.6243162155151,15,3,215,0,210,1,20,2,0
131.543060302734,5,1,80,0,200,0,5,1,0
252.503936290741,5,1,50,0,340,1,12,1,1
161.602387619019,3,1,28,0,230,1,0,1,1
200.235231685638,5,1,77,0,280,1,17,1,0
50.2726356029511,13,3,141,1,230,0,17,2,1
52.3858518600464,15,3,220,0,260,1,1,2,0
90.6955599784851,14,3,180,0,280,1,4,2,0
186.830673408508,8,2,163,0,320,1,23,1,0
